"","row","ID","age","gender","natLang","order","condition","cardinality","adjective","type","subtype","shape","display","sentence","response","time","code","conditionC","meanScore","sd","zScore","adjType","new.adj","item"
"34",34,"5484949efdf99b0379939cc6",36,"Male","English",25,"CRISP","3","COMPARATIVE","target","","diamond","[2-6-7]","This is the bigger diamond.",5,3432,1001586280,"CRISP-3-COMPARATIVE",6.61111111111111,0.697802339187225,-2.30883592764632,"bigger","big","diamond-big"
"35",35,"5484949efdf99b0379939cc6",36,"Male","English",27,"COARSE","3","COMPARATIVE","target","","cone","[2-3-7]","This is the shorter cone.",6,2760,1001586280,"COARSE-3-COMPARATIVE",6.61111111111111,0.697802339187225,-0.875765351865846,"shorter","short","cone-short"
"36",36,"5484949efdf99b0379939cc6",36,"Male","English",29,"COARSE","2","SUPERLATIVE","target","","triangle","[7-3]","This is the smallest triangle.",6,4239,1001586280,"COARSE-2-SUPERLATIVE",6.61111111111111,0.697802339187225,-0.875765351865846,"smallest","small","triangle-small"
"37",37,"5484949efdf99b0379939cc6",36,"Male","English",32,"PROGRESSIVE","2","COMPARATIVE","target","","circle","[5-7]","This is the bigger circle.",7,2801,1001586280,"PROGRESSIVE-2-COMPARATIVE",6.61111111111111,0.697802339187225,0.55730522391463,"bigger","big","circle-big"
"38",38,"5589629cfdf99b72eb003eee",42,"Female","English",0,"CRISP","3","SUPERLATIVE","target","","heart","[2-7-6]","This is the biggest heart.",7,3272,98450593,"CRISP-3-SUPERLATIVE",6.9,0.447213595499958,0.223606797749978,"biggest","big","heart-big"
"39",39,"5589629cfdf99b72eb003eee",42,"Female","English",2,"PROGRESSIVE","3","COMPARATIVE","target","","pentagon","[7-5-3]","This is the bigger pentagon.",5,4884,98450593,"PROGRESSIVE-3-COMPARATIVE",6.9,0.447213595499958,-4.2485291572496,"bigger","big","pentagon-big"
"40",40,"5589629cfdf99b72eb003eee",42,"Female","English",6,"COARSE","2","SUPERLATIVE","target","","cylinder","[7-3]","This is the shortest cylinder.",7,2482,98450593,"COARSE-2-SUPERLATIVE",6.9,0.447213595499958,0.223606797749978,"shortest","short","cylinder-short"
"41",41,"5589629cfdf99b72eb003eee",42,"Female","English",7,"COARSE","3","SUPERLATIVE","target","","pentagon","[3-2-7]","This is the smallest pentagon.",7,2066,98450593,"COARSE-3-SUPERLATIVE",6.9,0.447213595499958,0.223606797749978,"smallest","small","pentagon-small"
"42",42,"5589629cfdf99b72eb003eee",42,"Female","English",11,"COARSE","3","SUPERLATIVE","target","","diamond","[3-7-2]","This is the smallest diamond.",7,3414,98450593,"COARSE-3-SUPERLATIVE",6.9,0.447213595499958,0.223606797749978,"smallest","small","diamond-small"
"43",43,"5589629cfdf99b72eb003eee",42,"Female","English",12,"CRISP","3","COMPARATIVE","target","","cylinder","[6-7-2]","This is the taller cylinder.",7,2096,98450593,"CRISP-3-COMPARATIVE",6.9,0.447213595499958,0.223606797749978,"taller","tall","cylinder-tall"
"44",44,"5589629cfdf99b72eb003eee",42,"Female","English",16,"PROGRESSIVE","2","COMPARATIVE","target","","triangle","[5-7]","This is the smaller triangle.",7,1400,98450593,"PROGRESSIVE-2-COMPARATIVE",6.9,0.447213595499958,0.223606797749978,"smaller","small","triangle-small"
"45",45,"5589629cfdf99b72eb003eee",42,"Female","English",17,"CRISP","4","SUPERLATIVE","target","","cone","[1-6-7-2]","This is the shortest cone.",7,2592,98450593,"CRISP-4-SUPERLATIVE",6.9,0.447213595499958,0.223606797749978,"shortest","short","cone-short"
"46",46,"5589629cfdf99b72eb003eee",42,"Female","English",18,"CRISP","4","COMPARATIVE","target","","circle","[1-2-6-7]","This is the bigger circle.",7,1558,98450593,"CRISP-4-COMPARATIVE",6.9,0.447213595499958,0.223606797749978,"bigger","big","circle-big"
"47",47,"5589629cfdf99b72eb003eee",42,"Female","English",20,"PROGRESSIVE","2","SUPERLATIVE","target","","diamond","[5-7]","This is the biggest diamond.",7,1402,98450593,"PROGRESSIVE-2-SUPERLATIVE",6.9,0.447213595499958,0.223606797749978,"biggest","big","diamond-big"
"48",48,"5589629cfdf99b72eb003eee",42,"Female","English",28,"PROGRESSIVE","4","COMPARATIVE","target","","triangle","[3-5-1-7]","This is the bigger triangle.",7,1554,98450593,"PROGRESSIVE-4-COMPARATIVE",6.9,0.447213595499958,0.223606797749978,"bigger","big","triangle-big"
"49",49,"5589629cfdf99b72eb003eee",42,"Female","English",30,"CRISP","2","SUPERLATIVE","target","","circle","[6-7]","This is the smallest circle.",7,3000,98450593,"CRISP-2-SUPERLATIVE",6.9,0.447213595499958,0.223606797749978,"smallest","small","circle-small"
"50",50,"5589629cfdf99b72eb003eee",42,"Female","English",31,"PROGRESSIVE","3","SUPERLATIVE","target","","heart","[7-3-5]","This is the smallest heart.",7,1682,98450593,"PROGRESSIVE-3-SUPERLATIVE",6.9,0.447213595499958,0.223606797749978,"smallest","small","heart-small"
"51",51,"5589629cfdf99b72eb003eee",42,"Female","English",37,"COARSE","2","COMPARATIVE","target","","cone","[3-7]","This is the taller cone.",7,2476,98450593,"COARSE-2-COMPARATIVE",6.9,0.447213595499958,0.223606797749978,"taller","tall","cone-tall"
"52",52,"55a2fa33fdf99b073cd94947",40,"Female","English",2,"COARSE","2","SUPERLATIVE","target","","triangle","[7-3]","This is the biggest triangle.",6,5738,1815135332,"COARSE-2-SUPERLATIVE",6.55,0.51041778553404,-1.07754865834964,"biggest","big","triangle-big"
"53",53,"55a2fa33fdf99b073cd94947",40,"Female","English",6,"PROGRESSIVE","2","SUPERLATIVE","target","","pentagon","[7-5]","This is the biggest pentagon.",6,7773,1815135332,"PROGRESSIVE-2-SUPERLATIVE",6.55,0.51041778553404,-1.07754865834964,"biggest","big","pentagon-big"
"54",54,"55a2fa33fdf99b073cd94947",40,"Female","English",9,"PROGRESSIVE","3","COMPARATIVE","target","","diamond","[3-5-7]","This is the smaller diamond.",6,6906,1815135332,"PROGRESSIVE-3-COMPARATIVE",6.55,0.51041778553404,-1.07754865834964,"smaller","small","diamond-small"
"55",55,"55a2fa33fdf99b073cd94947",40,"Female","English",16,"PROGRESSIVE","4","SUPERLATIVE","target","","cone","[3-1-5-7]","This is the tallest cone.",7,6408,1815135332,"PROGRESSIVE-4-SUPERLATIVE",6.55,0.51041778553404,0.881630720467888,"tallest","tall","cone-tall"
"56",56,"55a2fa33fdf99b073cd94947",40,"Female","English",19,"PROGRESSIVE","4","COMPARATIVE","target","","cone","[5-3-1-7]","This is the shorter cone.",6,13883,1815135332,"PROGRESSIVE-4-COMPARATIVE",6.55,0.51041778553404,-1.07754865834964,"shorter","short","cone-short"
"57",57,"55a2fa33fdf99b073cd94947",40,"Female","English",20,"COARSE","2","COMPARATIVE","target","","heart","[3-7]","This is the smaller heart.",7,3360,1815135332,"COARSE-2-COMPARATIVE",6.55,0.51041778553404,0.881630720467888,"smaller","small","heart-small"
"58",58,"55a2fa33fdf99b073cd94947",40,"Female","English",22,"CRISP","3","COMPARATIVE","target","","circle","[2-7-6]","This is the smaller circle.",6,4180,1815135332,"CRISP-3-COMPARATIVE",6.55,0.51041778553404,-1.07754865834964,"smaller","small","circle-small"
"59",59,"55a2fa33fdf99b073cd94947",40,"Female","English",23,"PROGRESSIVE","3","SUPERLATIVE","target","","diamond","[5-3-7]","This is the biggest diamond.",7,4358,1815135332,"PROGRESSIVE-3-SUPERLATIVE",6.55,0.51041778553404,0.881630720467888,"biggest","big","diamond-big"
"60",60,"55a2fa33fdf99b073cd94947",40,"Female","English",25,"PROGRESSIVE","2","COMPARATIVE","target","","cylinder","[7-5]","This is the shorter cylinder.",7,2705,1815135332,"PROGRESSIVE-2-COMPARATIVE",6.55,0.51041778553404,0.881630720467888,"shorter","short","cylinder-short"
"61",61,"55a2fa33fdf99b073cd94947",40,"Female","English",32,"CRISP","4","SUPERLATIVE","target","","triangle","[2-7-1-6]","This is the smallest triangle.",7,2358,1815135332,"CRISP-4-SUPERLATIVE",6.55,0.51041778553404,0.881630720467888,"smallest","small","triangle-small"
"62",62,"55a2fa33fdf99b073cd94947",40,"Female","English",33,"COARSE","3","SUPERLATIVE","target","","circle","[7-2-3]","This is the biggest circle.",7,2646,1815135332,"COARSE-3-SUPERLATIVE",6.55,0.51041778553404,0.881630720467888,"biggest","big","circle-big"
"63",63,"55a2fa33fdf99b073cd94947",40,"Female","English",37,"COARSE","4","SUPERLATIVE","target","","pentagon","[3-1-2-7]","This is the smallest pentagon.",7,2486,1815135332,"COARSE-4-SUPERLATIVE",6.55,0.51041778553404,0.881630720467888,"smallest","small","pentagon-small"
"64",64,"55a2fa33fdf99b073cd94947",40,"Female","English",38,"COARSE","3","COMPARATIVE","target","","cylinder","[2-3-7]","This is the taller cylinder.",6,2730,1815135332,"COARSE-3-COMPARATIVE",6.55,0.51041778553404,-1.07754865834964,"taller","tall","cylinder-tall"
